No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
34,PFG,-1.92%,3.55%,20.80%,38.21%,100.83%,31.61%,3.52%,2.42%,2.70,1.73M,0.48,66.50,1.85%,"263,578"
35,XRAY,-1.16%,2.13%,18.35%,25.77%,78.39%,27.22%,2.48%,1.94%,1.90,1.85M,0.58,67.55,1.41%,"339,856"
36,GILD,3.56%,5.53%,2.97%,13.68%,-10.58%,18.28%,2.08%,2.03%,2.30,7.79M,0.93,68.83,-0.11%,"2,311,355"
37,WDC,-4.65%,-3.38%,3.78%,60.82%,69.10%,19.82%,4.19%,3.73%,2.20,4.70M,1.49,69.67,4.97%,"2,233,279"
38,CTSH,-5.10%,-10.28%,-7.38%,-5.07%,44.08%,-13.01%,1.99%,2.00%,2.50,3.42M,2.96,71.21,-0.11%,"3,223,763"
39,XEL,-0.60%,3.55%,15.51%,-3.54%,22.49%,6.67%,2.28%,1.79%,2.90,3.34M,0.64,71.60,0.67%,"676,597"
40,AMD,-6.16%,-6.95%,-21.12%,-6.28%,40.07%,-20.30%,3.54%,3.52%,2.30,44.99M,1.25,74.32,1.68%,"17,846,687"
41,TRMB,-2.15%,-8.44%,1.71%,27.54%,116.15%,11.26%,2.92%,2.51%,1.90,1.56M,1.10,75.96,2.25%,"544,784"
42,CERN,2.26%,4.12%,1.28%,2.88%,18.35%,-2.05%,2.08%,1.63%,2.40,2.82M,0.51,77.26,0.51%,"460,449"
43,NTAP,-1.62%,0.21%,10.77%,53.19%,84.78%,15.66%,2.72%,2.34%,2.50,1.81M,0.27,77.51,1.17%,"153,709"
44,FANG,-7.36%,-5.15%,12.44%,125.95%,101.64%,57.44%,6.73%,5.07%,1.90,2.88M,1.13,77.71,1.98%,"1,035,417"
45,MU,-8.97%,-14.87%,-10.74%,39.31%,77.33%,2.67%,3.92%,3.30%,1.90,20.82M,1.20,78.55,1.76%,"7,950,173"
46,PENN,-9.34%,-24.36%,-32.42%,19.11%,360.04%,-11.90%,8.31%,5.73%,2.40,5.31M,1.15,80.25,5.47%,"1,942,568"
47,HSIC,0.20%,14.40%,15.02%,17.63%,56.62%,19.77%,3.21%,2.73%,2.50,1.19M,0.50,80.55,0.59%,"190,423"
48,INCY,1.12%,1.24%,-2.07%,0.19%,-13.71%,-4.31%,2.90%,2.46%,2.20,1.31M,0.46,83.51,0.34%,"190,418"
49,AEP,-1.82%,-0.63%,9.59%,-4.70%,11.31%,3.90%,2.01%,1.59%,2.30,3.14M,0.43,87.15,0.73%,"426,000"
